Postcode, Gewest, Gemeente, Bruto inkomen, NAMN
2630,Vlaanderen,Aartselaar,23250,Aartselaar
2000,Vlaanderen,Antwerpen,15615,Antwerpen
2530,Vlaanderen,Boechout,21490,Boechout
2850,Vlaanderen,Boom,16918,Boom
2150,Vlaanderen,Borsbeek,18745,Borsbeek
2930,Vlaanderen,Brasschaat,21714,Brasschaat
2960,Vlaanderen,Brecht,19913,Brecht
2650,Vlaanderen,Edegem,22345,Edegem
2910,Vlaanderen,Essen,17825,Essen
2620,Vlaanderen,Hemiksem,18324,Hemiksem
2540,Vlaanderen,Hove,24754,Hove
2920,Vlaanderen,Kalmthout,19910,Kalmthout
2950,Vlaanderen,Kapellen,21963,Kapellen
2550,Vlaanderen,Kontich,22063,Kontich
2547,Vlaanderen,Lint,21487,Lint
2640,Vlaanderen,Mortsel,20337,Mortsel
2845,Vlaanderen,Niel,17966,Niel
2520,Vlaanderen,Ranst,20732,Ranst
2840,Vlaanderen,Rumst,20451,Rumst
2627,Vlaanderen,Schelle,20122,Schelle
2970,Vlaanderen,Schilde,23902,Schilde
2900,Vlaanderen,Schoten,20626,Schoten
2940,Vlaanderen,Stabroek,20498,Stabroek
2110,Vlaanderen,Wijnegem,20222,Wijnegem
2160,Vlaanderen,Wommelgem,19885,Wommelgem
2990,Vlaanderen,Wuustwezel,18240,Wuustwezel
2240,Vlaanderen,Zandhoven,20298,Zandhoven
2980,Vlaanderen,Zoersel,22005,Zoersel
2070,Vlaanderen,Zwijndrecht,19964,Zwijndrecht
2390,Vlaanderen,Malle,19334,Malle
2590,Vlaanderen,Berlaar,19029,Berlaar
2820,Vlaanderen,Bonheiden,23823,Bonheiden
2880,Vlaanderen,Bornem,20514,Bornem
2570,Vlaanderen,Duffel,20007,Duffel
2220,Vlaanderen,Heist-op-den-Berg,19008,Heist-op-den-Berg
2500,Vlaanderen,Lier,19438,Lier
2800,Vlaanderen,Mechelen,18633,Mechelen
2560,Vlaanderen,Nijlen,19069,Nijlen
2580,Vlaanderen,Putte,19524,Putte
2870,Vlaanderen,Puurs,20656,Puurs
2890,Vlaanderen,Sint-Amands,19530,Sint-Amands
2860,Vlaanderen,Sint-Katelijne-Waver,20463,Sint-Katelijne-Waver
2830,Vlaanderen,Willebroek,18073,Willebroek
2370,Vlaanderen,Arendonk,17353,Arendonk
2387,Vlaanderen,Baarle-Hertog,15359,Baarle-Hertog
2490,Vlaanderen,Balen,18285,Balen
2340,Vlaanderen,Beerse,19510,Beerse
2480,Vlaanderen,Dessel,18107,Dessel
2440,Vlaanderen,Geel,19349,Geel
2280,Vlaanderen,Grobbendonk,19897,Grobbendonk
2200,Vlaanderen,Herentals,18968,Herentals
2270,Vlaanderen,Herenthout,18432,Herenthout
2230,Vlaanderen,Herselt,18726,Herselt
2320,Vlaanderen,Hoogstraten,17453,Hoogstraten
2235,Vlaanderen,Hulshout,18777,Hulshout
2460,Vlaanderen,Kasterlee,19609,Kasterlee
2275,Vlaanderen,Lille,18758,Lille
2450,Vlaanderen,Meerhout,18342,Meerhout
2330,Vlaanderen,Merksplas,17815,Merksplas
2400,Vlaanderen,Mol,18855,Mol
2250,Vlaanderen,Olen,18948,Olen
2360,Vlaanderen,Oud-Turnhout,19984,Oud-Turnhout
2380,Vlaanderen,Ravels,16980,Ravels
2470,Vlaanderen,Retie,18202,Retie
2310,Vlaanderen,Rijkevorsel,17349,Rijkevorsel
2300,Vlaanderen,Turnhout,17628,Turnhout
2290,Vlaanderen,Vorselaar,18775,Vorselaar
2350,Vlaanderen,Vosselaar,21382,Vosselaar
2260,Vlaanderen,Westerlo,19359,Westerlo
2430,Vlaanderen,Laakdal,18573,Laakdal
1730,Vlaanderen,Asse,19778,Asse
1650,Vlaanderen,Beersel,20962,Beersel
1547,Vlaanderen,Bever,19166,Bever#Bi�v�ne
1700,Vlaanderen,Dilbeek,21300,Dilbeek
1570,Vlaanderen,Galmaarden,21081,Galmaarden
1755,Vlaanderen,Gooik,21746,Gooik
1850,Vlaanderen,Grimbergen,21123,Grimbergen
1500,Vlaanderen,Halle,19113,Halle
1540,Vlaanderen,Herne,20964,Herne
1560,Vlaanderen,Hoeilaart,21782,Hoeilaart
1910,Vlaanderen,Kampenhout,22667,Kampenhout
1880,Vlaanderen,Kapelle-op-den-Bos,21148,Kapelle-op-den-Bos
1770,Vlaanderen,Liedekerke,18786,Liedekerke
1840,Vlaanderen,Londerzeel,21164,Londerzeel
1830,Vlaanderen,Machelen,16316,Machelen
1860,Vlaanderen,Meise,22892,Meise
1785,Vlaanderen,Merchtem,21303,Merchtem
1745,Vlaanderen,Opwijk,20964,Opwijk
3090,Vlaanderen,Overijse,22667,Overijse
1670,Vlaanderen,Pepingen,21200,Pepingen
1600,Vlaanderen,Sint-Pieters-Leeuw,18011,Sint-Pieters-Leeuw
1820,Vlaanderen,Steenokkerzeel,21591,Steenokkerzeel
1740,Vlaanderen,Ternat,21478,Ternat
1800,Vlaanderen,Vilvoorde,17286,Vilvoorde
1930,Vlaanderen,Zaventem,18492,Zaventem
1980,Vlaanderen,Zemst,23289,Zemst
1760,Vlaanderen,Roosdaal,20700,Roosdaal
1620,Vlaanderen,Drogenbos,16571,Drogenbos
1950,Vlaanderen,Kraainem,20522,Kraainem
1630,Vlaanderen,Linkebeek,20634,Linkebeek
1640,Vlaanderen,Sint-Genesius-Rode,24641,Sint-Genesius-Rode#Rhode-Saint-Gen�se
1780,Vlaanderen,Wemmel,21005,Wemmel
1970,Vlaanderen,Wezembeek-Oppem,21661,Wezembeek-Oppem
1750,Vlaanderen,Lennik,22294,Lennik
1790,Vlaanderen,Affligem,20811,Affligem
3200,Vlaanderen,Aarschot,20099,Aarschot
3130,Vlaanderen,Begijnendijk,20703,Begijnendijk
3460,Vlaanderen,Bekkevoort,19390,Bekkevoort
3060,Vlaanderen,Bertem,22761,Bertem
3360,Vlaanderen,Bierbeek,23828,Bierbeek
3190,Vlaanderen,Boortmeerbeek,22674,Boortmeerbeek
3370,Vlaanderen,Boutersem,21750,Boutersem
3290,Vlaanderen,Diest,19471,Diest
3450,Vlaanderen,Geetbets,18349,Geetbets
3150,Vlaanderen,Haacht,21677,Haacht
3020,Vlaanderen,Herent,23420,Herent
3320,Vlaanderen,Hoegaarden,21489,Hoegaarden
3220,Vlaanderen,Holsbeek,22183,Holsbeek
3040,Vlaanderen,Huldenberg,22710,Huldenberg
3140,Vlaanderen,Keerbergen,25779,Keerbergen
3470,Vlaanderen,Kortenaken,18893,Kortenaken
3070,Vlaanderen,Kortenberg,22077,Kortenberg
3400,Vlaanderen,Landen,19636,Landen
3000,Vlaanderen,Leuven,20261,Leuven
3210,Vlaanderen,Lubbeek,24066,Lubbeek
3050,Vlaanderen,Oud-Heverlee,24997,Oud-Heverlee
3110,Vlaanderen,Rotselaar,22103,Rotselaar
3080,Vlaanderen,Tervuren,21248,Tervuren
3300,Vlaanderen,Tienen,19215,Tienen
3120,Vlaanderen,Tremelo,20820,Tremelo
3440,Vlaanderen,Zoutleeuw,19176,Zoutleeuw
3350,Vlaanderen,Linter,19605,Linter
3270,Vlaanderen,Scherpenheuvel-Zichem,19298,Scherpenheuvel-Zichem
3390,Vlaanderen,Tielt-Winge,20509,Tielt-Winge
3380,Vlaanderen,Glabbeek,20126,Glabbeek
8730,Vlaanderen,Beernem,18838,Beernem
8370,Vlaanderen,Blankenberge,17805,Blankenberge
8000,Vlaanderen,Brugge,19727,Brugge
8340,Vlaanderen,Damme,19405,Damme
8490,Vlaanderen,Jabbeke,20806,Jabbeke
8020,Vlaanderen,Oostkamp,19482,Oostkamp
8820,Vlaanderen,Torhout,18435,Torhout
8210,Vlaanderen,Zedelgem,18994,Zedelgem
8377,Vlaanderen,Zuienkerke,19500,Zuienkerke
8300,Vlaanderen,Knokke-Heist,24542,Knokke-Heist
8600,Vlaanderen,Diksmuide,16914,Diksmuide
8650,Vlaanderen,Houthulst,16284,Houthulst
8680,Vlaanderen,Koekelare,16843,Koekelare
8610,Vlaanderen,Kortemark,16963,Kortemark
8647,Vlaanderen,Lo-Reninge,16238,Lo-Reninge
8900,Vlaanderen,Ieper,17896,Ieper
8957,Vlaanderen,Mesen,13549,Mesen#Messines
8970,Vlaanderen,Poperinge,16239,Poperinge
8940,Vlaanderen,Wervik,16446,Wervik
8980,Vlaanderen,Zonnebeke,17076,Zonnebeke
8950,Vlaanderen,Heuvelland,15831,Heuvelland
8920,Vlaanderen,Langemark-Poelkapelle,16429,Langemark-Poelkapelle
8640,Vlaanderen,Vleteren,15494,Vleteren
8570,Vlaanderen,Anzegem,18906,Anzegem
8580,Vlaanderen,Avelgem,18062,Avelgem
8540,Vlaanderen,Deerlijk,18362,Deerlijk
8530,Vlaanderen,Harelbeke,18208,Harelbeke
8500,Vlaanderen,Kortrijk,18869,Kortrijk
8520,Vlaanderen,Kuurne,17634,Kuurne
8860,Vlaanderen,Lendelede,18559,Lendelede
8930,Vlaanderen,Menen,16397,Menen
8790,Vlaanderen,Waregem,18875,Waregem
8560,Vlaanderen,Wevelgem,18234,Wevelgem
8550,Vlaanderen,Zwevegem,18856,Zwevegem
