PartijNummer,Partijen,Avelgem,Spiere-Helkijn,Totalen
2,Groen,413,111,524
3,Vlaams Belang,296,50,346
7,OpenVld,1032,308,1340
12,sp.a,1427,237,1664
13,N-VA,1555,206,1761
15,CD&V,1769,278,2047
17,PVDA+,84,17,101
29,R.O.S.S.E.M.,21,5,26
31,ROEL,4,1,5
32,GENOEG,17,3,20
33,VCP,17,6,23
34,Piratenpartij,42,15,57
35,V.I.T.A.L.,3,2,5
,
PartijNummer,Partijen,Beernem,Blankenberge,Brugge,Damme,Jabbeke,Knokke-Heist,Oostkamp,Zedelgem,Zuienkerke,Totalen
2,Groen,876,693,9112,504,616,1253,1226,1108,117,15505
3,Vlaams Belang,448,903,3847,308,452,999,722,800,103,8582
7,OpenVld,1468,2502,8623,1057,1026,5076,1760,1452,299,23263
12,sp.a,1360,3108,15883,734,1248,1966,2420,2154,227,29100
13,N-VA,3234,4200,22058,2594,3001,9561,4846,4622,662,54778
15,CD&V,2970,2033,17436,2316,2731,3811,4509,4891,545,41242
17,PVDA+,146,180,1475,91,104,194,235,220,23,2668
29,R.O.S.S.E.M.,34,45,232,22,24,48,48,47,4,504
31,ROEL,20,14,146,8,5,14,16,27,2,252
32,GENOEG,11,35,285,5,10,76,22,19,8,471
33,VCP,20,10,176,11,11,31,29,16,0,304
34,Piratenpartij,79,114,613,36,65,148,105,128,22,1310
35,V.I.T.A.L.,5,7,53,3,5,6,5,13,2,99
,
PartijNummer,Partijen,Diksmuide,Houthulst,Koekelare,Kortemark,Lo-Reninge,Totalen
2,Groen,566,277,255,371,122,1591
3,Vlaams Belang,544,416,282,376,93,1711
7,OpenVld,1488,793,1149,1739,278,5447
12,sp.a,1696,899,1269,987,227,5078
13,N-VA,3750,1935,1433,2119,698,9935
15,CD&V,3111,1824,1450,2545,776,9706
17,PVDA+,158,103,75,109,13,458
29,R.O.S.S.E.M.,43,36,13,41,6,139
31,ROEL,37,11,89,37,3,177
32,GENOEG,17,6,4,24,3,54
33,VCP,14,20,6,16,3,59
34,Piratenpartij,82,45,35,54,11,227
35,V.I.T.A.L.,10,5,3,6,0,24
,
PartijNummer,Partijen,Gistel,Ichtegem,Oudenburg,Totalen
2,Groen,483,528,374,1385
3,Vlaams Belang,419,418,321,1158
7,OpenVld,1552,1431,1175,4158
12,sp.a,1665,1577,1195,4437
13,N-VA,2346,2385,1862,6593
15,CD&V,2037,2047,1776,5860
17,PVDA+,124,117,98,339
29,R.O.S.S.E.M.,27,39,23,89
31,ROEL,17,38,27,82
32,GENOEG,23,22,10,55
33,VCP,10,15,10,35
34,Piratenpartij,74,43,52,169
35,V.I.T.A.L.,11,10,4,25
,
PartijNummer,Partijen,Deerlijk,Harelbeke,Waregem,Totalen
2,Groen,459,1282,1492,3233
3,Vlaams Belang,381,991,1021,2393
7,OpenVld,1134,1992,2203,5329
12,sp.a,1176,4314,2619,8109
13,N-VA,2425,5186,7635,15246
15,CD&V,2450,4539,10177,17166
17,PVDA+,101,398,277,776
29,R.O.S.S.E.M.,18,59,52,129
31,ROEL,4,20,23,47
32,GENOEG,26,59,46,131
33,VCP,13,31,56,100
34,Piratenpartij,51,154,133,338
35,V.I.T.A.L.,7,11,22,40
,
PartijNummer,Partijen,Hooglede,Staden,Totalen
2,Groen,507,290,797,
3,Vlaams Belang,299,323,622,
7,OpenVld,827,2019,2846,
12,sp.a,772,811,1583,
13,N-VA,2270,1914,4184,
15,CD&V,2083,2121,4204,
17,PVDA+,69,78,147,
29,R.O.S.S.E.M.,24,29,53,
31,ROEL,6,8,14,
32,GENOEG,12,5,17,
33,VCP,6,13,19,
34,Piratenpartij,32,28,60,
35,V.I.T.A.L.,3,2,5,
,
PartijNummer,Partijen,Ieper,Langemark-Poelkapelle,Totalen
2,Groen,1721,202,1923,
3,Vlaams Belang,1147,288,1435,
7,OpenVld,2941,665,3606,
12,sp.a,3987,649,4636,
13,N-VA,6251,1645,7896,
15,CD&V,6586,1696,8282,
17,PVDA+,408,116,524,
29,R.O.S.S.E.M.,108,24,132,
31,ROEL,49,17,66,
32,GENOEG,42,8,50,
33,VCP,75,12,87,
34,Piratenpartij,205,30,235,
35,V.I.T.A.L.,12,2,14,
,
PartijNummer,Partijen,Ingelmunster,Izegem,Totalen
2,Groen,384,1207,1591,
3,Vlaams Belang,415,1307,1722,
7,OpenVld,671,1608,2279,
